epoch,acc,iou,loss,lr,precision,recall,val_acc,val_iou,val_loss,val_precision,val_recall
0,0.8911541104316711,0.09761868417263031,0.39421799778938293,1e-04,0.31534343957901,0.11396940797567368,0.9123873114585876,0.0730675756931305,0.5789030194282532,0.0,0.0
1,0.907407820224762,0.13185353577136993,0.31599465012550354,1e-04,0.5312480330467224,0.33280307054519653,0.9123857617378235,0.06486166268587112,0.5022069215774536,0.0,0.0
2,0.9159045219421387,0.1554352343082428,0.28559184074401855,1e-04,0.5975320935249329,0.39596495032310486,0.9120790958404541,0.060793742537498474,0.4087643027305603,0.0,0.0
3,0.9248027205467224,0.1803666204214096,0.2611897587776184,1e-04,0.6693142652511597,0.44068753719329834,0.9083664417266846,0.06179375946521759,0.3514861762523651,0.07872150093317032,0.004268391989171505
4,0.9332118630409241,0.20688310265541077,0.2406076192855835,1e-04,0.7324212789535522,0.4914683699607849,0.8912106156349182,0.06707954406738281,0.3398132920265198,0.11027269810438156,0.0340472050011158
5,0.9408974647521973,0.23626083135604858,0.22083979845046997,1e-04,0.7869160175323486,0.5391984581947327,0.8358354568481445,0.08672414720058441,0.42192742228507996,0.14478695392608643,0.176477313041687
6,0.9468808770179749,0.2646089494228363,0.20353077352046967,1e-04,0.8239709138870239,0.5806015133857727,0.8434110283851624,0.09242802858352661,0.41586002707481384,0.16574382781982422,0.19366222620010376
7,0.9499323964118958,0.2839023768901825,0.19150397181510925,1e-04,0.8362942337989807,0.6081001162528992,0.867867648601532,0.1164356991648674,0.37153545022010803,0.25976091623306274,0.27098721265792847
8,0.951052188873291,0.29305553436279297,0.18368957936763763,1e-04,0.8424628376960754,0.6162407398223877,0.8448053598403931,0.1565791368484497,0.48150742053985596,0.2821536362171173,0.49020838737487793
9,0.9548120498657227,0.30341610312461853,0.17449133098125458,1e-05,0.8837289214134216,0.6214463710784912,0.9170647263526917,0.18888700008392334,0.25578099489212036,0.5368065237998962,0.4569006562232971
10,0.9604253768920898,0.3223276436328888,0.1641606241464615,1e-05,0.9015634059906006,0.6730034351348877,0.9340092539787292,0.22085697948932648,0.21485473215579987,0.6685688495635986,0.5114504098892212
11,0.9625030159950256,0.33272847533226013,0.15973107516765594,1e-05,0.9004920721054077,0.6995221972465515,0.9418882727622986,0.2347719520330429,0.19921979308128357,0.7443811893463135,0.5296375155448914
